Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.146162796,0.101863657
CO (Launch),0.569591402,1.173820099
CO2 (Launch),17.361271968,2.451740319
NOx (Launch),0.236538504,0.017613987
H2O (Launch),12.928912022,3.249700823
Al2O3 (Launch),1.402503758,0.081536915
Cl (Launch),0.07887011,0.012677996
HCl (Launch),0.599638051,0.016406818
Cl2 (Launch),0.249367236,0.024610227
NOx (Reentry),1.008658747,0.0
Al2O3 (Reentry),0.598082964,0.0
BC (Reentry),0.023047506,0.0
Cl (Reentry),0.008585092,0.0
HCl (Reentry),0.004238756,0.0
Cly (Total),0.940699245,0.053695042
NOx (Total),1.245197251,0.017613987
Total Emis,35.215468911,7.129970842
Total Prop,25.876599962,5.911706233
Surviving Mass,1.867922051,1.867922051
