Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.170939194,0.075901537
CO (Launch),0.686672453,0.811967336
CO2 (Launch),19.431680064,1.765329172
NOx (Launch),0.236476982,0.017496128
H2O (Launch),13.921764405,2.563511608
Al2O3 (Launch),1.70015684,0.007935304
Cl (Launch),0.087799634,0.001233843
HCl (Launch),0.745784383,0.001596738
Cl2 (Launch),0.291214385,0.002395107
NOx (Reentry),1.462954575,0.0
Al2O3 (Reentry),0.843893545,0.0
BC (Reentry),0.043206242,0.0
Cl (Reentry),0.015946942,0.0
HCl (Reentry),0.008194607,0.0
Cly (Total),1.148939951,0.005225688
NOx (Total),1.699431557,0.017496128
Total Emis,39.646684251,5.247366772
Total Prop,27.949936194,4.572136347
Surviving Mass,2.59506185,2.59506185
