Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.142742278,0.067620166
CO (Launch),0.652426045,0.812288473
CO2 (Launch),17.65582382,1.706701625
NOx (Launch),0.159626211,0.01011879
H2O (Launch),8.769016553,1.440433469
Al2O3 (Launch),0.348428355,0.005948868
Cl (Launch),0.01939523,0.000924976
HCl (Launch),0.149286773,0.001197028
Cl2 (Launch),0.061832994,0.001795542
NOx (Reentry),1.042522025,0.0
Al2O3 (Reentry),0.632178915,0.0
BC (Reentry),0.028390696,0.0
Cl (Reentry),0.010506344,0.0
HCl (Reentry),0.005337985,0.0
Cly (Total),0.246359327,0.003917547
NOx (Total),1.202148236,0.01011879
Total Emis,29.677514224,4.047028938
Total Prop,20.202255563,3.354557283
Surviving Mass,1.70296955,1.70296955
