Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.164042893,0.076236622
CO (Launch),0.679682722,0.838255109
CO2 (Launch),19.070405316,1.807198193
NOx (Launch),0.218475715,0.01617492
H2O (Launch),12.382118051,2.285735907
Al2O3 (Launch),1.185507657,0.007905339
Cl (Launch),0.063141841,0.001229184
HCl (Launch),0.514301525,0.001590708
Cl2 (Launch),0.206870812,0.002386063
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.784314177,0.005205955
NOx (Total),0.218475715,0.01617492
Total Emis,34.484546533,5.036712045
Total Prop,25.82743092,4.355042547
Surviving Mass,0.0,0.0
