,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.1647119575694597
1,CO (Launch),0.707411811846131
2,CO2 (Launch),17.904647689930595
3,NOx (Launch),0.24422954315957524
4,H2O (Launch),11.317213643930708
5,Al2O3 (Launch),0.3708631519737306
6,Cl (Launch),0.018417021736898572
7,HCl (Launch),0.16387148820360942
8,Cl2 (Launch),0.0630690223360793
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.2453575322765873
15,NOx (Total),0.24422954315957524
16,Total Emis,30.954435330686792
17,Total Prop,25.061282759529835
18,Surviving Mass,0.0
