,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.10978728605437876
1,CO (Launch),0.5207007425432656
2,CO2 (Launch),9.909261059555446
3,NOx (Launch),0.18792924640862427
4,H2O (Launch),9.21213832494868
5,Al2O3 (Launch),1.0937633293504
6,Cl (Launch),0.046072859977441843
7,HCl (Launch),0.5030190058470413
8,Cl2 (Launch),0.17452568032342564
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),0.7236175461479087
15,NOx (Total),0.18792924640862427
16,Total Emis,21.757197535008707
17,Total Prop,18.54928970224381
18,Surviving Mass,0.0
