Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.177647248,0.089767181
CO (Launch),0.713395876,0.838272103
CO2 (Launch),20.244560722,1.904999468
NOx (Launch),0.265059112,0.02821387
H2O (Launch),14.182329505,3.076765519
Al2O3 (Launch),1.035403679,0.009196158
Cl (Launch),0.057155437,0.00142989
HCl (Launch),0.444698738,0.001850446
Cl2 (Launch),0.183153443,0.00277567
NOx (Reentry),1.4711935,0.0
Al2O3 (Reentry),0.88213777,0.0
BC (Reentry),0.04511223,0.0
Cl (Reentry),0.01669489,0.0
HCl (Reentry),0.00848106,0.0
Cly (Total),0.710183567,0.006056006
NOx (Total),1.736252612,0.02821387
Total Emis,39.727023209,5.953270304
Total Prop,29.050860865,5.581866248
Surviving Mass,2.5457265,2.5457265
