Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.141376457,0.071273365
CO (Launch),0.594027211,0.721614437
CO2 (Launch),16.441006134,1.60002775
NOx (Launch),0.200806016,0.019002196
H2O (Launch),9.94711651,1.940881802
Al2O3 (Launch),0.387784903,0.001636671
Cl (Launch),0.022219008,0.000254482
HCl (Launch),0.16473608,0.00032933
Cl2 (Launch),0.069597612,0.000493995
NOx (Reentry),1.09499763,0.0
Al2O3 (Reentry),0.666759369,0.0
BC (Reentry),0.031416568,0.0
Cl (Reentry),0.011641266,0.0
HCl (Reentry),0.005881326,0.0
Cly (Total),0.274075291,0.001077808
NOx (Total),1.295803646,0.019002196
Total Emis,29.779366091,4.355514029
Total Prop,21.816515992,3.999578108
Surviving Mass,1.836586515,1.836586515
